t,S,I,R,cenario
314.8626373626374,176697.84898041366,0.13300175852293705,1430361.018017828,COVID-19
315.8653846153846,176697.84543940643,0.12366064482350402,1430361.030899949,COVID-19
316.86813186813185,176697.84215211525,0.11498882929207824,1430361.0428590556,COVID-19
317.8708791208791,176697.83910074737,0.10693937502116274,1430361.0539598777,COVID-19
318.8736263736264,176697.83626803037,0.09946671755945156,1430361.064265252,COVID-19
319.8763736263736,176697.83363721197,0.09252666491183073,1430361.0738361233,COVID-19
320.8791208791209,176697.83119206023,0.08607639753937668,1430361.0827315424,COVID-19
321.88186813186815,176697.82891686348,0.08007446835935866,1430361.0910086683,COVID-19
322.88461538461536,176697.8267964303,0.0744808027452374,1430361.098722767,COVID-19
323.8873626373626,176697.82481704597,0.06925922146804764,1430361.1059237325,COVID-19
324.8901098901099,176697.822972516,0.06439338361720202,1430361.1126341005,COVID-19
325.89285714285717,176697.82125574854,0.059864580972576825,1430361.1188796705,COVID-19
326.8956043956044,176697.81965916112,0.0556528110452104,1430361.124688028,COVID-19
327.89835164835165,176697.8181753672,0.051738588439844066,1430361.1300860443,COVID-19
328.9010989010989,176697.81679717635,0.04810294485492352,1430361.1350998788,COVID-19
329.90384615384613,176697.81551759414,0.04472742908259808,1430361.1397549768,COVID-19
330.9065934065934,176697.8143298221,0.041594107008720155,1430361.144076071,COVID-19
331.90934065934067,176697.81322725792,0.03868556161284642,1430361.1480871805,COVID-19
332.9120879120879,176697.81220349512,0.03598489296823714,1430361.1518116118,COVID-19
333.91483516483515,176697.8112523234,0.03347571824185582,1430361.1552719583,COVID-19
334.9175824175824,176697.81036772835,0.031142171694370092,1430361.1584901,COVID-19
335.9203296703297,176697.80954389166,0.028968904680151092,1430361.1614872036,COVID-19
336.9230769230769,176697.80877520086,0.02694111153790949,1430361.1642836875,COVID-19
337.9258241758242,176697.80805816335,0.025049578867864755,1430361.1668922578,COVID-19
338.92857142857144,176697.80739054966,0.023288425396512682,1430361.169321025,COVID-19
339.93131868131866,176697.80676947045,0.02165002903353287,1430361.1715805004,COVID-19
340.9340659340659,176697.80619210983,0.02012696161830567,1430361.1736809285,COVID-19
341.9368131868132,176697.8056557255,0.018711988919912784,1430361.1756322857,COVID-19
342.9395604395604,176697.80515764863,0.0173980706371369,1430361.1774442806,COVID-19
343.9423076923077,176697.80469528394,0.01617836039846155,1430361.1791263556,COVID-19
344.94505494505495,176697.80426610957,0.015046205762071533,1430361.1806876846,COVID-19
345.9478021978022,176697.80386767728,0.013995148215852597,1430361.1821371745,COVID-19
346.95054945054943,176697.80349761236,0.013018923177391594,1430361.1834834644,COVID-19
347.9532967032967,176697.80315361347,0.012111459993976267,1430361.1847349266,COVID-19
348.95604395604397,176697.80283345294,0.011266881942595546,1430361.185899665,COVID-19
349.9587912087912,176697.8025349765,0.010479506229939407,1430361.1869855172,COVID-19
350.96153846153845,176697.80225634316,0.009744476156285145,1430361.1879991805,COVID-19
351.9642857142857,176697.80199675978,0.009059699637079484,1430361.1889435404,COVID-19
352.967032967033,176697.80175517974,0.008422415632291964,1430361.1898224044,COVID-19
353.9697802197802,176697.80153053283,0.007829800848703833,1430361.1906396663,COVID-19
354.9725274725275,176697.80132177597,0.007279103843035039,1430361.19139912,COVID-19
355.97527472527474,176697.80112789344,0.006767645021944444,1430361.1921044614,COVID-19
356.97802197802196,176697.8009478967,0.0062928166420297025,1430361.1927592866,COVID-19
357.9807692307692,176697.80078082441,0.005852082809827201,1430361.1933670926,COVID-19
